sheet,cell,row,label,url,domain,backup_status
Лист1,C64,64,https://quizlet.com/735996625/os-c1-sb-m2-intro-p23-flash-cards/,https://quizlet.com/735996625/os-c1-sb-m2-intro-p23-flash-cards/,quizlet.com,link-indexed
Лист1,C65,65,https://quizlet.com/736221279/os-c1-sb-m2-2a-reading-pp24-25-flash-cards/?new,https://quizlet.com/736221279/os-c1-sb-m2-2a-reading-pp24-25-flash-cards/?new,quizlet.com,link-indexed
Лист1,C66,66,https://quizlet.com/838147758/os-c1-sb-m2-vocabulary-ex3-4-pp26-flash-cards/?new,https://quizlet.com/838147758/os-c1-sb-m2-vocabulary-ex3-4-pp26-flash-cards/?new,quizlet.com,link-indexed
Лист1,C67,67,https://quizlet.com/736273091/os-c1-sb-m2-2b-vocabulary-ex1-2-5-11-pp26-27-flash-cards/,https://quizlet.com/736273091/os-c1-sb-m2-2b-vocabulary-ex1-2-5-11-pp26-27-flash-cards/,quizlet.com,link-indexed
Лист1,C68,68,https://quizlet.com/736357083/os-c1-sb-m2-2c-2d-2e-grammar-speaking-listening-pp28-31-flash-cards/?new,https://quizlet.com/736357083/os-c1-sb-m2-2c-2d-2e-grammar-speaking-listening-pp28-31-flash-cards/?new,quizlet.com,link-indexed
Лист1,C71,71,https://wordwall.net/play/61687/199/179,https://wordwall.net/play/61687/199/179,wordwall.net,link-indexed
Лист1,C73,73,https://quizlet.com/736221279/os-c1-sb-m2-2a-reading-pp24-25-flash-cards/?new,https://quizlet.com/736221279/os-c1-sb-m2-2a-reading-pp24-25-flash-cards/?new,quizlet.com,link-indexed
Лист1,C76,76,https://quizlet.com/736722854/os-c1-sb-m2-2f-writing-pp32-25-flash-cards/?new,https://quizlet.com/736722854/os-c1-sb-m2-2f-writing-pp32-25-flash-cards/?new,quizlet.com,link-indexed
Лист1,C77,77,https://quizlet.com/736731049/os-c1-sb-m2-language-knowledge-2-pp36-37-flash-cards/,https://quizlet.com/736731049/os-c1-sb-m2-language-knowledge-2-pp36-37-flash-cards/,quizlet.com,link-indexed
Лист1,C78,78,https://quizlet.com/840458431/os-c1-sb-m2-language-knowledge-ex-5-sentences-7-12-p37-flash-cards/?new,https://quizlet.com/840458431/os-c1-sb-m2-language-knowledge-ex-5-sentences-7-12-p37-flash-cards/?new,quizlet.com,link-indexed
Лист1,C79,79,https://quizlet.com/738586755/os-c1-sb-m2-language-focus-2-p38-flash-cards/?new,https://quizlet.com/738586755/os-c1-sb-m2-language-focus-2-p38-flash-cards/?new,quizlet.com,link-indexed
Лист1,C81,81,https://wordwall.net/play/61914/658/703,https://wordwall.net/play/61914/658/703,wordwall.net,link-indexed
Лист1,C83,83,https://quizlet.com/736221279/os-c1-sb-m2-2a-reading-pp24-25-flash-cards/?new,https://quizlet.com/736221279/os-c1-sb-m2-2a-reading-pp24-25-flash-cards/?new,quizlet.com,link-indexed
Лист1,C84,84,https://quizlet.com/838147758/os-c1-sb-m2-vocabulary-ex3-4-pp26-flash-cards/?new,https://quizlet.com/838147758/os-c1-sb-m2-vocabulary-ex3-4-pp26-flash-cards/?new,quizlet.com,link-indexed
Лист1,C85,85,https://quizlet.com/736273091/os-c1-sb-m2-2b-vocabulary-ex1-2-5-11-pp26-27-flash-cards/,https://quizlet.com/736273091/os-c1-sb-m2-2b-vocabulary-ex1-2-5-11-pp26-27-flash-cards/,quizlet.com,link-indexed
Лист1,C90,90,https://quizlet.com/741459159/os-c1-wb-m2-2a-reading-pp16-17-flash-cards/?new,https://quizlet.com/741459159/os-c1-wb-m2-2a-reading-pp16-17-flash-cards/?new,quizlet.com,link-indexed
Лист1,C91,91,https://quizlet.com/741526600/os-c1-wb-m2-2b-vocabulary-pp18-19-flash-cards/?new,https://quizlet.com/741526600/os-c1-wb-m2-2b-vocabulary-pp18-19-flash-cards/?new,quizlet.com,link-indexed
Лист1,C92,92,https://quizlet.com/741663493/os-c1-wb-m2-grammar-in-use-grammar-revision-listening-speaking-writing-skills-work-flash-cards/?new,https://quizlet.com/741663493/os-c1-wb-m2-grammar-in-use-grammar-revision-listening-speaking-writing-skills-work-flash-cards/?new,quizlet.com,link-indexed
Лист1,C94,94,https://wordwall.net/play/62085/298/134,https://wordwall.net/play/62085/298/134,wordwall.net,link-indexed
Лист1,C96,96,https://quizlet.com/736221279/os-c1-sb-m2-2a-reading-pp24-25-flash-cards/?new,https://quizlet.com/736221279/os-c1-sb-m2-2a-reading-pp24-25-flash-cards/?new,quizlet.com,link-indexed
Лист1,C97,97,https://quizlet.com/838147758/os-c1-sb-m2-vocabulary-ex3-4-pp26-flash-cards/?new,https://quizlet.com/838147758/os-c1-sb-m2-vocabulary-ex3-4-pp26-flash-cards/?new,quizlet.com,link-indexed
Лист1,C98,98,https://quizlet.com/736273091/os-c1-sb-m2-2b-vocabulary-ex1-2-5-11-pp26-27-flash-cards/,https://quizlet.com/736273091/os-c1-sb-m2-2b-vocabulary-ex1-2-5-11-pp26-27-flash-cards/,quizlet.com,link-indexed
Лист1,C99,99,https://quizlet.com/736722854/os-c1-sb-m2-2f-writing-pp32-25-flash-cards/?new,https://quizlet.com/736722854/os-c1-sb-m2-2f-writing-pp32-25-flash-cards/?new,quizlet.com,link-indexed
Лист1,C102,102,https://quizlet.com/741663493/os-c1-wb-m2-grammar-in-use-grammar-revision-listening-speaking-writing-skills-work-flash-cards/?new,https://quizlet.com/741663493/os-c1-wb-m2-grammar-in-use-grammar-revision-listening-speaking-writing-skills-work-flash-cards/?new,quizlet.com,link-indexed
Лист1,C105,105,https://quizlet.com/741663493/os-c1-wb-m2-grammar-in-use-grammar-revision-listening-speaking-writing-skills-work-flash-cards/?new,https://quizlet.com/741663493/os-c1-wb-m2-grammar-in-use-grammar-revision-listening-speaking-writing-skills-work-flash-cards/?new,quizlet.com,link-indexed
Лист1,C106,106,https://quizlet.com/741671719/os-c1-wb-m2-language-knowledge-pp26-27-flash-cards/?new,https://quizlet.com/741671719/os-c1-wb-m2-language-knowledge-pp26-27-flash-cards/?new,quizlet.com,link-indexed
Лист1,C107,107,https://quizlet.com/847198015/os-c1-wb-m2-language-knowledge-ex5-sentences-7-12-p27-flash-cards/?new,https://quizlet.com/847198015/os-c1-wb-m2-language-knowledge-ex5-sentences-7-12-p27-flash-cards/?new,quizlet.com,link-indexed
Лист1,C108,108,https://wordwall.net/play/62884/042/790,https://wordwall.net/play/62884/042/790,wordwall.net,link-indexed
Лист1,C109,109,https://disk.yandex.ru/i/RafDsjFAR3KvAQ,https://disk.yandex.ru/i/RafDsjFAR3KvAQ,disk.yandex.ru,link-indexed
Лист1,C111,111,https://quizlet.com/741663493/os-c1-wb-m2-grammar-in-use-grammar-revision-listening-speaking-writing-skills-work-flash-cards/?new,https://quizlet.com/741663493/os-c1-wb-m2-grammar-in-use-grammar-revision-listening-speaking-writing-skills-work-flash-cards/?new,quizlet.com,link-indexed
Лист1,C117,117,https://wordwall.net/play/63428/591/880,https://wordwall.net/play/63428/591/880,wordwall.net,link-indexed
Лист1,C122,122,https://quizlet.com/749244932/os-c1-sb-m3-intro-flash-cards/?new,https://quizlet.com/749244932/os-c1-sb-m3-intro-flash-cards/?new,quizlet.com,link-indexed
Лист1,C123,123,https://quizlet.com/749276722/os-c1-sb-m3-reading-part-1-ex1-2-p42-flash-cards/,https://quizlet.com/749276722/os-c1-sb-m3-reading-part-1-ex1-2-p42-flash-cards/,quizlet.com,link-indexed
Лист1,C124,124,https://quizlet.com/749279375/os-c1-sb-m3-reading-part-2-ex2-partly-3-6-p43-flash-cards/,https://quizlet.com/749279375/os-c1-sb-m3-reading-part-2-ex2-partly-3-6-p43-flash-cards/,quizlet.com,link-indexed
Лист1,C125,125,https://quizlet.com/749372916/flash-cards/,https://quizlet.com/749372916/flash-cards/,quizlet.com,link-indexed
Лист1,C126,126,https://quizlet.com/749374387/flash-cards/?new,https://quizlet.com/749374387/flash-cards/?new,quizlet.com,link-indexed
Лист1,C127,127,https://quizlet.com/749376567/os-c1-sb-m3-vocabulary-part-3-ex9-10-p45-flash-cards/?new,https://quizlet.com/749376567/os-c1-sb-m3-vocabulary-part-3-ex9-10-p45-flash-cards/?new,quizlet.com,link-indexed
Лист1,C128,128,https://quizlet.com/749379421/os-c1-sb-m3-grammar-in-use-listening-speaking-all-ex-pp46-49-flash-cards/,https://quizlet.com/749379421/os-c1-sb-m3-grammar-in-use-listening-speaking-all-ex-pp46-49-flash-cards/,quizlet.com,link-indexed
Лист1,C129,129,https://quizlet.com/749379421/os-c1-sb-m3-grammar-in-use-listening-speaking-all-ex-pp46-49-flash-cards/,https://quizlet.com/749379421/os-c1-sb-m3-grammar-in-use-listening-speaking-all-ex-pp46-49-flash-cards/,quizlet.com,link-indexed
Лист1,C130,130,https://quizlet.com/749379421/os-c1-sb-m3-grammar-in-use-listening-speaking-all-ex-pp46-49-flash-cards/,https://quizlet.com/749379421/os-c1-sb-m3-grammar-in-use-listening-speaking-all-ex-pp46-49-flash-cards/,quizlet.com,link-indexed
Лист1,C131,131,https://wordwall.net/play/63956/484/703,https://wordwall.net/play/63956/484/703,wordwall.net,link-indexed
Лист1,C133,133,https://quizlet.com/749244932/os-c1-sb-m3-intro-flash-cards/?new,https://quizlet.com/749244932/os-c1-sb-m3-intro-flash-cards/?new,quizlet.com,link-indexed
Лист1,C134,134,https://quizlet.com/749276722/os-c1-sb-m3-reading-part-1-ex1-2-p42-flash-cards/,https://quizlet.com/749276722/os-c1-sb-m3-reading-part-1-ex1-2-p42-flash-cards/,quizlet.com,link-indexed
Лист1,C135,135,https://quizlet.com/749279375/os-c1-sb-m3-reading-part-2-ex2-partly-3-6-p43-flash-cards/,https://quizlet.com/749279375/os-c1-sb-m3-reading-part-2-ex2-partly-3-6-p43-flash-cards/,quizlet.com,link-indexed
Лист1,C138,138,https://quizlet.com/750327338/os-c1-sb-m3-writing-flash-cards/?new,https://quizlet.com/750327338/os-c1-sb-m3-writing-flash-cards/?new,quizlet.com,link-indexed
Лист1,C139,139,https://quizlet.com/750375457/os-c1-sb-m3-language-knowledge-ex5-1-6-p55-flash-cards/,https://quizlet.com/750375457/os-c1-sb-m3-language-knowledge-ex5-1-6-p55-flash-cards/,quizlet.com,link-indexed
Лист1,C140,140,https://quizlet.com/750380192/os-c1-sb-m3-language-knowledge-ex57-13-p55-flash-cards/,https://quizlet.com/750380192/os-c1-sb-m3-language-knowledge-ex57-13-p55-flash-cards/,quizlet.com,link-indexed
Лист1,C141,141,https://quizlet.com/750466567/os-c1-sb-m3-language-focus-flash-cards/?new,https://quizlet.com/750466567/os-c1-sb-m3-language-focus-flash-cards/?new,quizlet.com,link-indexed
Лист1,C143,143,https://wordwall.net/play/63957/246/418,https://wordwall.net/play/63957/246/418,wordwall.net,link-indexed
Лист1,C145,145,https://quizlet.com/749244932/os-c1-sb-m3-intro-flash-cards/?new,https://quizlet.com/749244932/os-c1-sb-m3-intro-flash-cards/?new,quizlet.com,link-indexed
Лист1,C146,146,https://quizlet.com/749276722/os-c1-sb-m3-reading-part-1-ex1-2-p42-flash-cards/,https://quizlet.com/749276722/os-c1-sb-m3-reading-part-1-ex1-2-p42-flash-cards/,quizlet.com,link-indexed
Лист1,C147,147,https://quizlet.com/749279375/os-c1-sb-m3-reading-part-2-ex2-partly-3-6-p43-flash-cards/,https://quizlet.com/749279375/os-c1-sb-m3-reading-part-2-ex2-partly-3-6-p43-flash-cards/,quizlet.com,link-indexed
Лист1,C152,152,https://quizlet.com/752673401/os-c1-wb-m3-reading-3a-pp-28-29-flash-cards/?new,https://quizlet.com/752673401/os-c1-wb-m3-reading-3a-pp-28-29-flash-cards/?new,quizlet.com,link-indexed
Лист1,C153,153,https://quizlet.com/752699046/os-c1-wb-m3-vocabulary-3b-pp30-31-flash-cards/?new,https://quizlet.com/752699046/os-c1-wb-m3-vocabulary-3b-pp30-31-flash-cards/?new,quizlet.com,link-indexed
Лист1,C154,154,https://quizlet.com/752708771/os-c1-wb-m3-grammar-in-use-3c-pp-32-33-flash-cards/?new,https://quizlet.com/752708771/os-c1-wb-m3-grammar-in-use-3c-pp-32-33-flash-cards/?new,quizlet.com,link-indexed
Лист1,C156,156,https://wordwall.net/play/64714/454/447,https://wordwall.net/play/64714/454/447,wordwall.net,link-indexed
Лист1,C158,158,https://quizlet.com/749372916/flash-cards/,https://quizlet.com/749372916/flash-cards/,quizlet.com,link-indexed
Лист1,C159,159,https://quizlet.com/749374387/flash-cards/?new,https://quizlet.com/749374387/flash-cards/?new,quizlet.com,link-indexed
Лист1,C164,164,https://quizlet.com/752710307/os-c1-wb-m3-listening-p34-flash-cards/?new,https://quizlet.com/752710307/os-c1-wb-m3-listening-p34-flash-cards/?new,quizlet.com,link-indexed
Лист1,C165,165,https://quizlet.com/752711862/os-c1-wb-m3-speaking-p35-flash-cards/?new,https://quizlet.com/752711862/os-c1-wb-m3-speaking-p35-flash-cards/?new,quizlet.com,link-indexed
